Sample;Ch4
245;-0.3109933137893677
246;-0.3107408583164215
247;-0.30695444345474243
248;-0.3084689974784851
249;-0.3019058406352997
250;-0.3014009892940521
251;-0.3041777014732361
252;-0.2981193959712982
253;-0.3014009892940521
254;-0.2948378026485443
255;-0.2847406268119812
256;-0.29307079315185547
257;-0.2880222201347351
258;-0.2867600619792938
259;-0.28549790382385254
260;-0.27716773748397827
261;-0.2779250144958496
262;-0.27413856983184814
263;-0.26959484815597534
264;-0.2703521251678467
265;-0.2665656805038452
266;-0.2562160789966583
267;-0.2552063465118408
268;-0.2521772086620331
269;-0.24485674500465393
270;-0.2428373098373413
271;-0.24359458684921265
272;-0.23778870701789856
273;-0.23526442050933838
274;-0.22617694735527039
275;-0.2271866649389267
276;-0.21532247960567474
277;-0.2158273309469223
278;-0.20850686728954315
279;-0.20042912662029266
280;-0.20320585370063782
281;-0.2021961361169815
282;-0.19739997386932373
283;-0.1920989453792572
284;-0.18906979262828827
285;-0.17821532487869263
286;-0.17468130588531494
287;-0.17543859779834747
288;-0.17341914772987366
289;-0.16433168947696686
290;-0.17266187071800232
291;-0.15953552722930908
292;-0.15524421632289886
293;-0.15751609206199646
294;-0.14767132699489594
295;-0.14969077706336975
296;-0.1469140499830246
297;-0.1390887200832367
298;-0.13277798891067505
299;-0.13706928491592407
300;-0.1310109794139862
301;-0.12924396991729736
302;-0.1277293860912323
303;-0.13176827132701874
304;-0.13807900249958038
305;-0.14211788773536682
306;-0.12141865491867065
307;-0.12747696042060852
308;-0.12268079817295074
309;-0.11889435350894928
310;-0.12394294887781143
311;-0.12293323129415512
312;-0.11510790884494781
313;-0.11763221025466919
314;-0.11485548317432404
315;-0.11939921230077744
316;-0.11763221025466919
317;-0.12747696042060852
318;-0.12369051575660706
319;-0.12167108058929443
320;-0.13277798891067505
321;-0.12697210907936096
322;-0.13252554833889008
323;-0.13429255783557892
324;-0.14287516474723816
325;-0.14741890132427216
326;-0.1504480540752411
327;-0.14994320273399353
328;-0.153729647397995
329;-0.15524421632289886
330;-0.16079767048358917
331;-0.16256467998027802
332;-0.1696327030658722
333;-0.1739240139722824
334;-0.17947746813297272
335;-0.18275904655456543
336;-0.1875552088022232
337;-0.19007951021194458
338;-0.19260381162166595
339;-0.20371070504188538
340;-0.19967183470726013
341;-0.20623500645160675
342;-0.2180992066860199
343;-0.22087591886520386
344;-0.2216332107782364
345;-0.22390508651733398
346;-0.23198282718658447
347;-0.23374983668327332
348;-0.23475955426692963
349;-0.23652656376361847
350;-0.2453615963459015
351;-0.2486431896686554
352;-0.24561402201652527
353;-0.2665656805038452
354;-0.26404139399528503
355;-0.25823551416397095
356;-0.2723715603351593
357;-0.2658084034919739
358;-0.27161428332328796
359;-0.27540072798728943
360;-0.2756531536579132
361;-0.2766628861427307
362;-0.2812066078186035
363;-0.2837308943271637
364;-0.2844882011413574
365;-0.2872649133205414
366;-0.289284348487854
367;-0.29307079315185547
368;-0.29559510946273804
369;-0.2925659418106079
370;-0.29433295130729675
371;-0.2963523864746094
372;-0.29988640546798706
373;-0.302663117647171
374;-0.30569228529930115
375;-0.3019058406352997
376;-0.3097311556339264
377;-0.3049349784851074
378;-0.3039252758026123
379;-0.311750590801239
380;-0.3152846097946167
381;-0.31149816513061523
382;-0.3049349784851074
383;-0.3526442050933838
384;-0.31023600697517395
385;-0.3178088963031769
386;-0.3210904896259308
387;-0.3253817856311798
388;-0.31907105445861816
389;-0.31831374764442444
390;-0.32134291529655457
391;-0.31932348012924194
392;-0.3120030164718628
393;-0.3195759057998657
